commodity,horizon_months,observations,baseline_rmse,enso_rmse,rmse_improvement,baseline_mae,enso_mae,loss_difference_p_value,gross_strategy_return,net_strategy_return,buy_and_hold_return,net_excess_over_buy_and_hold,turnover
Coconut oil,3,56,0.18003414538538812,0.17536079488034476,0.004673350505043361,0.14369575647920504,0.1357522681474517,0.4319,4.8706371933501575,4.845637193350157,4.651176178698556,0.19446101465160126,25.0
Coconut oil,6,55,0.2401145303764206,0.21570968181282696,0.02440484856359365,0.1975853363794577,0.18437811547660463,0.1529,9.896254885420664,9.857254885420666,8.356168135462031,1.5010867499586347,39.0
Coconut oil,12,54,0.43674548282553854,0.39018365795180265,0.04656182487373589,0.33991191163695716,0.3123607596898556,0.1532,18.62005664122842,18.595056641228418,17.397237692505296,1.1978189487231212,25.0
Palm oil,3,56,0.16275105775152696,0.15676525826977222,0.005985799481754733,0.11622404216414371,0.1133062819404844,0.4009,2.4158166656821205,2.384816665682121,1.4442523308943076,0.9405643347878132,31.0
Palm oil,6,55,0.2136160675922997,0.20040280073490999,0.013213266857389716,0.16678359283446942,0.16493751690377875,0.3459,2.1762083438783235,2.113208343878323,4.529387026438331,-2.4161786825600085,63.0
Palm oil,12,54,0.28586729322499643,0.2673866743052109,0.01848061891978553,0.21947910973142168,0.21634926201456517,0.4512,8.808786759379357,8.76978675937936,8.523805193109801,0.24598156626955792,39.0
"Rubber, RSS3",3,56,0.13517912651021446,0.13729461187932673,-0.002115485369112269,0.10404145650941869,0.10818507802210332,0.6788,1.8844878109916257,1.8514878109916255,2.2315720201020146,-0.3800842091103891,33.0
"Rubber, RSS3",6,55,0.19217205416284477,0.18721246608945313,0.004959588073391641,0.1309054296166177,0.13376517783437852,0.5729,4.607321459811244,4.578321459811243,5.8030483151672705,-1.2247268553560273,29.0
"Rubber, RSS3",12,54,0.33365989936690377,0.29525064278784346,0.0384092565790603,0.25908252870659,0.22181430148203013,0.0137,9.829305794666414,9.816305794666413,10.99147258067607,-1.1751667860096582,13.0
