commodity,macro_episodes,macro_draw_universe_episodes,macro_mean_return,macro_median_return,macro_positive_share,macro_direction,macro_sign_agreement,macro_standard_error,macro_t_statistic,macro_confidence_level,macro_ci_lower,macro_ci_upper,macro_bootstrap_p_value,macro_bootstrap_p_value_method,macro_centered_p_value,macro_studentized_p_value,macro_studentized_ci_lower,macro_studentized_ci_upper,macro_studentized_valid_replicates,macro_studentized_status,macro_group,macro_observed_mean_return,macro_placebo_mean_return,macro_observed_minus_placebo_mean,macro_placebo_interval_lower,macro_placebo_interval_upper,macro_valid_placebo_replicates,macro_required_valid_placebo_replicates,macro_placebo_status,macro_placebo_p_value,macro_reject_bootstrap_raw,macro_reject_placebo_raw
Gold,17,17,0.18820031067900309,0.11644967132342385,0.8235294117647058,positive,True,0.05316377657364409,3.540010187543811,0.95,0.0937872728617858,0.2951013709288091,0.009499050094990502,studentized,0.0004999500049995,0.009499050094990502,0.09037742661077103,0.32716934259164115,10000,estimated,precious_metals,0.18820031067900309,-0.05456141054702428,0.24276172122602735,-0.11162968029672504,0.00958864910175484,10000,9000,estimated,0.00019998000199980003,True,True
Platinum,17,17,0.13616157757439853,0.11512318170522712,0.7647058823529411,positive,True,0.046124384247901454,2.9520519307657436,0.95,0.05209305123955995,0.22472458148060306,0.0124987501249875,studentized,0.0022997700229977,0.0124987501249875,0.047805343637462056,0.24643369581227806,10000,estimated,precious_metals,0.13616157757439853,-0.059586549527989585,0.19574812710238812,-0.12733943671230885,0.009783993480941852,10000,9000,estimated,0.00019998000199980003,True,True
Silver,17,17,0.3193103731903863,0.2702268542767659,0.7647058823529411,positive,True,0.08905813148355306,3.5854151425729768,0.95,0.15899969256376167,0.49219438052148895,0.0058994100589941,studentized,0.0004999500049995,0.0058994100589941,0.1538838033121069,0.5422802599740963,10000,estimated,precious_metals,0.3193103731903863,-0.04739301818661096,0.36670339137699726,-0.12726567687654758,0.033950071023948585,10000,9000,estimated,0.00019998000199980003,True,True
