block,block_length_years,block_start_month,blocks,term,estimate,naive_standard_error,block_standard_error,ci_lower,ci_upper,block_bootstrap_p_value,studentized_p_value,valid_replicates,confidence_level,is_primary_block
calendar_year,1,12,67,exposure_x_enso,0.04244947975908688,0.032890912835448934,0.033277896646297885,-0.024635547538370533,0.10814297545404512,0.20839580209895053,0.19940029985007496,2000,0.95,True
calendar_year,1,12,67,control_x_enso,0.002561693846506448,0.003666030135065739,0.003711893255346748,-0.004416365575365359,0.01002792254796669,0.4867566216891554,0.4847576211894053,2000,0.95,True
enso_year,1,5,68,exposure_x_enso,0.04244947975908688,0.032890912835448934,0.035795216598143526,-0.027561596567288765,0.11422301785764122,0.22938530734632684,0.2273863068465767,2000,0.95,False
enso_year,1,5,68,control_x_enso,0.002561693846506448,0.003666030135065739,0.004101618560911927,-0.005223449000272484,0.01122606181862598,0.5122438780609695,0.5122438780609695,2000,0.95,False
enso_two_year,2,5,35,exposure_x_enso,0.04244947975908688,0.032890912835448934,0.032104411827593264,-0.01976761751462818,0.10536321709618263,0.18440779610194902,0.18040979510244878,2000,0.95,False
enso_two_year,2,5,35,control_x_enso,0.002561693846506448,0.003666030135065739,0.0036496280575890228,-0.004213907685379959,0.010083912295860161,0.47876061969015493,0.4777611194402799,2000,0.95,False
enso_three_year,3,5,23,exposure_x_enso,0.04244947975908688,0.032890912835448934,0.03272409785338875,-0.025198606051079583,0.10357187763913205,0.18240879560219891,0.1774112943528236,2000,0.95,False
enso_three_year,3,5,23,control_x_enso,0.002561693846506448,0.003666030135065739,0.0037163737390612296,-0.004705105177447935,0.010204282234305181,0.463768115942029,0.4622688655672164,2000,0.95,False
