issue_date,target_center_date,lead_months,probability_el_nino,revision,issue_month
2021-09-09,2022-03-01,6,0.03,-0.020000000000000004,2021-09-01
2021-10-14,2022-04-01,6,0.02,-0.030000000000000002,2021-10-01
2021-11-11,2022-05-01,6,0.04,-0.04,2021-11-01
2021-12-09,2022-06-01,6,0.12,0.0,2021-12-01
2022-01-13,2022-07-01,6,0.14,-0.06,2022-01-01
2022-02-10,2022-08-01,6,0.14,-0.07999999999999999,2022-02-01
2022-03-10,2022-09-01,6,0.1,-0.07,2022-03-01
2022-04-14,2022-10-01,6,0.08,-0.039999999999999994,2022-04-01
2022-05-12,2022-11-01,6,0.05,-0.039999999999999994,2022-05-01
2022-06-09,2022-12-01,6,0.05,0.0,2022-06-01
2022-07-14,2023-01-01,6,0.05,-0.009999999999999995,2022-07-01
2022-08-11,2023-02-01,6,0.06,-0.010000000000000009,2022-08-01
2022-09-08,2023-03-01,6,0.06,-0.03,2022-09-01
2022-10-13,2023-04-01,6,0.07,-0.039999999999999994,2022-10-01
2022-11-10,2023-05-01,6,0.15,0.0,2022-11-01
2022-12-08,2023-06-01,6,0.32,0.06,2022-12-01
2023-01-12,2023-07-01,6,0.39,-0.010000000000000009,2023-01-01
2023-02-09,2023-08-01,6,0.57,0.10999999999999993,2023-02-01
2023-03-09,2023-09-01,6,0.61,0.010000000000000009,2023-03-01
2023-04-13,2023-10-01,6,0.84,0.21999999999999997,2023-04-01
2023-05-11,2023-11-01,6,0.94,0.07999999999999996,2023-05-01
2023-06-08,2023-12-01,6,0.96,0.020000000000000018,2023-06-01
2023-07-13,2024-01-01,6,0.93,-0.029999999999999916,2023-07-01
2023-08-10,2024-02-01,6,0.94,0.039999999999999925,2023-08-01
2023-09-14,2024-03-01,6,0.89,-0.010000000000000009,2023-09-01
2023-10-12,2024-04-01,6,0.8,0.020000000000000018,2023-10-01
2023-11-09,2024-05-01,6,0.62,0.010000000000000009,2023-11-01
2023-12-14,2024-06-01,6,0.2,-0.2,2023-12-01
2024-01-11,2024-07-01,6,0.07,-0.04999999999999999,2024-01-01
2024-02-08,2024-08-01,6,0.02,-0.039999999999999994,2024-02-01
2024-03-14,2024-09-01,6,0.01,-0.01,2024-03-01
2024-04-11,2024-10-01,6,0.01,0.0,2024-04-01
2024-05-09,2024-11-01,6,0.01,0.0,2024-05-01
2024-06-13,2024-12-01,6,0.01,0.0,2024-06-01
2024-07-11,2025-01-01,6,0.02,0.01,2024-07-01
2024-08-08,2025-02-01,6,0.03,0.009999999999999998,2024-08-01
2024-09-12,2025-03-01,6,0.04,-0.010000000000000002,2024-09-01
2024-10-10,2025-04-01,6,0.05,-0.009999999999999995,2024-10-01
2024-11-14,2025-05-01,6,0.07,-0.04999999999999999,2024-11-01
2024-12-12,2025-06-01,6,0.1,-0.01999999999999999,2024-12-01
2025-01-09,2025-07-01,6,0.16,0.0,2025-01-01
2025-02-13,2025-08-01,6,0.16,-0.03,2025-02-01
2025-03-13,2025-09-01,6,0.13,-0.04000000000000001,2025-03-01
2025-04-10,2025-10-01,6,0.18,0.03999999999999998,2025-04-01
