shift_years,is_observed_timing,cell,index_definition,lag_months,weighting,estimate,naive_standard_error,naive_t,observations
0,True,roni:lag0:exposure,roni,0,exposure,0.04724150938638612,0.032807770661467506,1.439948781459599,17992
0,True,roni:lag0:uniform,roni,0,uniform,-0.0005165898544631071,0.0017743300542815066,-0.2911464263464183,17992
0,True,roni:lag3:exposure,roni,3,exposure,0.056484430799434646,0.0328796685386588,1.7179136320374448,18013
0,True,roni:lag3:uniform,roni,3,uniform,-6.537264437237914e-05,0.0017782163641763074,-0.036763042838524655,18013
0,True,roni:lag6:exposure,roni,6,exposure,0.04244947975908688,0.032890912835448934,1.2906142183240346,18013
0,True,roni:lag6:uniform,roni,6,uniform,0.0015754910754567594,0.0017787827120797218,0.8857130580129838,18013
0,True,roni:lag9:exposure,roni,9,exposure,0.02499757431484995,0.03295948194912603,0.7584334715404348,18013
0,True,roni:lag9:uniform,roni,9,uniform,0.002964783971250094,0.0017825331505352162,1.6632419825459628,18013
0,True,roni:lag12:exposure,roni,12,exposure,-0.0009641602155602751,0.03299177732088561,-0.029224258098696266,18013
0,True,roni:lag12:uniform,roni,12,uniform,0.0032808645160471417,0.0017843419999542,1.8386971310047928,18013
0,True,oni:lag0:exposure,oni,0,exposure,0.05432549940629332,0.033811198535880785,1.6067309577518392,17992
0,True,oni:lag0:uniform,oni,0,uniform,-0.00044770371675492004,0.0018302523756533748,-0.2446131051162253,17992
0,True,oni:lag3:exposure,oni,3,exposure,0.0552537878892645,0.03396452518457357,1.6268087832524847,18013
0,True,oni:lag3:uniform,oni,3,uniform,0.0003661632301385165,0.0018387311955794165,0.1991390753682906,18013
0,True,oni:lag6:exposure,oni,6,exposure,0.03795170805427873,0.03399737285159929,1.116312963944019,18013
0,True,oni:lag6:uniform,oni,6,uniform,0.0014447204311507978,0.0018405034054524796,0.7849593903878812,18013
0,True,oni:lag9:exposure,oni,9,exposure,0.014487483605998358,0.03401665470342841,0.42589383736603054,18013
0,True,oni:lag9:uniform,oni,9,uniform,0.0025205785798049682,0.0018413948277594832,1.3688420005349324,18013
0,True,oni:lag12:exposure,oni,12,exposure,-0.015475643595423756,0.03402378697392256,-0.4548477689236951,18013
0,True,oni:lag12:uniform,oni,12,uniform,0.0027390276521861152,0.0018417627679827885,1.4871772303150999,18013
1,False,roni:lag0:exposure,roni,0,exposure,5.669567842005042e-06,0.03301118080169911,0.00017174689618231485,17992
1,False,roni:lag0:uniform,roni,0,uniform,0.003209798040383638,0.0017854161219864014,1.797787082157918,17992
1,False,roni:lag3:exposure,roni,3,exposure,-0.005677950739114239,0.03297956036979343,-0.1721657497992234,18013
1,False,roni:lag3:uniform,roni,3,uniform,0.0005225573307474035,0.001783754242592163,0.29295365822817604,18013
1,False,roni:lag6:exposure,roni,6,exposure,-0.02169931138770091,0.03300374851404642,-0.6574802064821716,18013
1,False,roni:lag6:uniform,roni,6,uniform,-0.0008013693223546106,0.0017850781432854172,-0.44892674607493593,18013
1,False,roni:lag9:exposure,roni,9,exposure,-0.045741292630361655,0.033068607178649435,-1.3832240463969183,18013
1,False,roni:lag9:uniform,roni,9,uniform,-0.0029603261188410903,0.0017886735356020117,-1.6550399275878687,18013
1,False,roni:lag12:exposure,roni,12,exposure,-0.05351784753770788,0.03295083952991246,-1.6241725036815795,18013
1,False,roni:lag12:uniform,roni,12,uniform,-0.0030303075131460425,0.0017823796560747748,-1.7001470493775173,18013
1,False,oni:lag0:exposure,oni,0,exposure,-0.014969304909876408,0.03403569609472708,-0.4398119218192074,17992
1,False,oni:lag0:uniform,oni,0,uniform,0.0027020476904939957,0.0018424091652009672,1.4665839388609752,17992
1,False,oni:lag3:exposure,oni,3,exposure,-0.017924962948731363,0.03400232738416562,-0.5271687066067939,18013
1,False,oni:lag3:uniform,oni,3,uniform,1.022585614897744e-05,0.0018406832825524865,0.005555467497263942,18013
1,False,oni:lag6:exposure,oni,6,exposure,-0.0389865926043634,0.033995517947534915,-1.1468156674221344,18013
1,False,oni:lag6:uniform,oni,6,uniform,-0.0012708583240152054,0.0018402977442798373,-0.6905721250625831,18013
1,False,oni:lag9:exposure,oni,9,exposure,-0.06122473585129363,0.0339889481532019,-1.8013130496221608,18013
1,False,oni:lag9:uniform,oni,9,uniform,-0.0035434688740463537,0.0018398797531687051,-1.9259241632197255,18013
1,False,oni:lag12:exposure,oni,12,exposure,-0.06107560725575712,0.03384807401524577,-1.8044042100666522,18013
1,False,oni:lag12:uniform,oni,12,uniform,-0.0036580769377203438,0.0018322078144510532,-1.9965404081721692,18013
2,False,roni:lag0:exposure,roni,0,exposure,-0.05260262370796905,0.03296965904648891,-1.5954858263410203,17992
2,False,roni:lag0:uniform,roni,0,uniform,-0.0031040366572889556,0.0017834180598002016,-1.7404986117706491,17992
2,False,roni:lag3:exposure,roni,3,exposure,-0.040625957363584334,0.0327169574478693,-1.2417400801500906,18013
2,False,roni:lag3:uniform,roni,3,uniform,-0.0012977266300941651,0.0017699170946965197,-0.733213230146625,18013
2,False,roni:lag6:exposure,roni,6,exposure,-0.02377430553158826,0.03262339192014192,-0.7287502657536302,18013
2,False,roni:lag6:uniform,roni,6,uniform,-0.0011808455102285229,0.001764689936444908,-0.6691518355952203,18013
2,False,roni:lag9:exposure,roni,9,exposure,-0.022093689213803912,0.03266880643044798,-0.6762931257020812,18013
2,False,roni:lag9:uniform,roni,9,uniform,-0.0009588058899718366,0.001766737463672198,-0.5426985670971962,18013
2,False,roni:lag12:exposure,roni,12,exposure,0.00628141944531222,0.03277953842275051,0.19162623232524303,18013
2,False,roni:lag12:uniform,roni,12,uniform,0.0017510171686691012,0.0017726041844930264,0.9878218634409355,18013
2,False,oni:lag0:exposure,oni,0,exposure,-0.06094961741994602,0.033857407944241885,-1.8001855759401597,17992
2,False,oni:lag0:uniform,oni,0,uniform,-0.003667644623273298,0.0018327127658113278,-2.0012108234809287,17992
2,False,oni:lag3:exposure,oni,3,exposure,-0.04522731052726886,0.03361179558335702,-1.345578531057808,18013
2,False,oni:lag3:uniform,oni,3,uniform,-0.0017268676258215565,0.0018196411694539772,-0.9490154733857448,18013
2,False,oni:lag6:exposure,oni,6,exposure,-0.026478147542810613,0.033568150402155376,-0.7887878011029907,18013
2,False,oni:lag6:uniform,oni,6,uniform,-0.001472439627926207,0.0018172239359243807,-0.8102686734517451,18013
2,False,oni:lag9:exposure,oni,9,exposure,-0.018506243601014633,0.033812534349808014,-0.547319032923059,18013
2,False,oni:lag9:uniform,oni,9,uniform,-0.0008116814636258063,0.001830403570779276,-0.44344399048579275,18013
2,False,oni:lag12:exposure,oni,12,exposure,0.02326902993339653,0.03407921586834506,0.6827924099923404,18013
2,False,oni:lag12:uniform,oni,12,uniform,0.0021000020267580724,0.0018450818915054419,1.1381619625807697,18013
3,False,roni:lag0:exposure,roni,0,exposure,0.00496361452916727,0.0328059650626274,0.15130219518589397,17992
3,False,roni:lag0:uniform,roni,0,uniform,0.0018474451291101235,0.001774016711787321,1.0413910516371763,17992
3,False,roni:lag3:exposure,roni,3,exposure,0.03936693232155853,0.03279266302480396,1.200479884533375,18013
3,False,roni:lag3:uniform,roni,3,uniform,0.0032883276971400685,0.0017737005076467246,1.853936266558829,18013
3,False,roni:lag6:exposure,roni,6,exposure,0.046770729899535145,0.03279622572701305,1.4261009876210178,18013
3,False,roni:lag6:uniform,roni,6,uniform,0.004202094277729833,0.001774134110596816,2.3685324872741753,18013
3,False,roni:lag9:exposure,roni,9,exposure,0.040260960498231475,0.032866174362883,1.224996863148748,18013
3,False,roni:lag9:uniform,roni,9,uniform,0.00474990680465846,0.0017778989379775207,2.671640498341147,18013
3,False,roni:lag12:exposure,roni,12,exposure,0.003672869979317237,0.03296889716779966,0.11140408975840681,18013
3,False,roni:lag12:uniform,roni,12,uniform,0.004929821109486644,0.0017835770771101175,2.764007887718708,18013
3,False,oni:lag0:exposure,oni,0,exposure,0.021104468328004073,0.03413815056269493,0.6182077230354228,17992
3,False,oni:lag0:uniform,oni,0,uniform,0.0022698855690765985,0.0018483051066141383,1.228090297945853,17992
3,False,oni:lag3:exposure,oni,3,exposure,0.06086715343549043,0.03414552604936774,1.7825806328913618,18013
3,False,oni:lag3:uniform,oni,3,uniform,0.0039828236904207726,0.0018493460595946872,2.153638941590883,18013
3,False,oni:lag6:exposure,oni,6,exposure,0.05907639987502371,0.034123126188249496,1.731271617644664,18013
3,False,oni:lag6:uniform,oni,6,uniform,0.005169687904798409,0.0018483045648475418,2.7969891992474913,18013
3,False,oni:lag9:exposure,oni,9,exposure,0.048021069430591715,0.034129200240756406,1.4070376420144155,18013
3,False,oni:lag9:uniform,oni,9,uniform,0.005275450368713455,0.0018485700433871508,2.8538006377335865,18013
3,False,oni:lag12:exposure,oni,12,exposure,0.015867104961497024,0.03415834870958427,0.4645161596188335,18013
3,False,oni:lag12:uniform,oni,12,uniform,0.005097291219760311,0.0018503768201897557,2.7547314493690993,18013
4,False,roni:lag0:exposure,roni,0,exposure,0.005280178930336246,0.03300608593095701,0.15997591902843197,17992
4,False,roni:lag0:uniform,roni,0,uniform,0.0048179521281267075,0.0017856561999641035,2.6981409569342416,17992
4,False,roni:lag3:exposure,roni,3,exposure,-0.008150254297633077,0.03288990545965979,-0.24780412663786908,18013
4,False,roni:lag3:uniform,roni,3,uniform,0.0021208778983830717,0.0017804219387681163,1.1912220649508052,18013
4,False,roni:lag6:exposure,roni,6,exposure,-0.004149879541259253,0.03290896298826869,-0.12610180219712766,18013
4,False,roni:lag6:uniform,roni,6,uniform,0.0017410332775496013,0.001782488268331865,0.9767431901130775,18013
4,False,roni:lag9:exposure,roni,9,exposure,-0.0013549727103462463,0.03303471858583352,-0.041016626396427294,18013
4,False,roni:lag9:uniform,roni,9,uniform,0.0021713875445044223,0.0017889809644084562,1.2137566512466569,18013
4,False,roni:lag12:exposure,roni,12,exposure,0.010864109402273964,0.03316254176105867,0.3276018310222293,18013
4,False,roni:lag12:uniform,roni,12,uniform,0.0018645301617400461,0.0017953810713751427,1.0385149935394717,18013
4,False,oni:lag0:exposure,oni,0,exposure,0.017322243313568395,0.03418912613568165,0.5066594344887321,17992
4,False,oni:lag0:uniform,oni,0,uniform,0.004996531622733655,0.001852087255159713,2.697784139928539,17992
