shift_years,is_observed_timing,valid_cells,median_absolute_t,maximum_absolute_t,positive_estimate_share
0,True,96,4.497853398426262,12.435108795762334,1.0
1,False,96,2.679663838968499,10.431766364810727,0.8229166666666666
2,False,96,1.097988790824288,4.053747608475949,0.5729166666666666
3,False,96,1.2364582142932292,8.604763159929318,0.7708333333333334
4,False,96,2.271889469668154,9.223001253551923,0.9583333333333334
5,False,96,2.191053051334193,6.3178442855903585,0.9583333333333334
6,False,96,1.480646749595766,6.539484705070063,0.8645833333333334
7,False,96,1.0564361246783245,4.971395010857091,0.7083333333333334
8,False,96,1.4984111062535446,5.86373796097132,0.8125
9,False,96,1.8268159998546456,10.204615360623423,0.9791666666666666
10,False,96,2.3979662280847247,7.836270467937752,0.9895833333333334
11,False,96,1.3573371221825377,7.266670590815989,0.9583333333333334
12,False,96,1.289105289126089,5.801299917347487,0.8125
13,False,96,1.389897474627069,6.626294505026679,0.8854166666666666
14,False,96,2.409544058573106,8.43476386825806,0.9791666666666666
15,False,96,1.8560241372577373,6.225983105740291,0.9791666666666666
16,False,96,1.3777617059657734,7.078022360602676,0.84375
17,False,96,1.1435740276778088,6.708437255560236,0.75
18,False,96,2.163462587404976,9.975839570324979,0.9583333333333334
19,False,96,2.177525457159364,5.681714389142112,0.9375
20,False,96,1.5534073063405365,7.010598663138316,0.8020833333333334
21,False,96,1.6166451796751131,7.275661357578641,0.8854166666666666
22,False,96,1.3984869206693236,7.704490782769254,0.9166666666666666
23,False,96,1.4983036017827716,6.740285914352201,0.8645833333333334
24,False,96,1.7634347765913576,8.599105186800674,0.9166666666666666
25,False,96,2.2327062556997155,8.073605147039608,0.9583333333333334
26,False,96,1.9859871609985937,7.2680082163692905,0.9583333333333334
27,False,96,1.3433369237284267,4.0743447234749075,0.6875
28,False,96,1.7129058348236152,8.463966669209672,0.7395833333333334
29,False,96,3.2984016873180924,9.308747168733198,1.0
30,False,96,2.1001539953943675,6.760901822356018,0.9479166666666666
31,False,96,1.0448596360327667,5.149569753807404,0.7395833333333334
32,False,96,1.1661694120694728,5.9829722422469676,0.65625
33,False,96,1.6969045789431156,6.64771566265429,0.9583333333333334
34,False,96,1.9035203623808976,6.346401935687758,0.9583333333333334
35,False,96,1.447843861719909,6.354725898851731,0.6458333333333334
36,False,96,1.5216303109546037,10.050633963283733,0.8645833333333334
37,False,96,2.233675523777832,8.098391220035582,0.9791666666666666
38,False,96,1.6022108417367087,9.259805685764016,1.0
39,False,96,1.490431376197436,6.229087135166762,0.90625
40,False,96,1.831045602322436,7.48964176560382,0.9895833333333334
41,False,96,1.7738277434772536,5.723067721459361,0.9270833333333334
42,False,96,1.1262434118376383,5.188490597236091,0.7916666666666666
43,False,96,2.1419296939448826,10.989907905369561,0.9479166666666666
44,False,96,2.094296608334953,6.819945986904003,0.9895833333333334
45,False,96,1.4233820099193468,7.112262386408736,0.8229166666666666
46,False,96,1.472197548421146,6.864903147721585,0.7604166666666666
47,False,96,1.8354311444716611,7.479073190103084,0.9375
48,False,96,2.1070385421277606,5.531011686784695,0.9166666666666666
49,False,96,1.4694265002595412,7.29941886367335,0.78125
50,False,96,2.0998462224133947,8.21972346691147,0.9479166666666666
51,False,96,1.8322309371539336,6.894272103924717,0.8541666666666666
52,False,96,1.9823156843859313,6.0631540717011765,1.0
53,False,96,1.3487162825129468,5.3434217574732905,0.8020833333333334
54,False,96,1.6700128260072264,5.623123942721767,0.8333333333333334
55,False,96,2.0015108124990073,8.475939607931037,0.9583333333333334
56,False,96,1.5062339788879116,7.1395535036475355,0.8229166666666666
57,False,96,1.485713546125184,7.554616007907319,0.84375
58,False,96,1.6908359049661983,5.33470433849856,0.9791666666666666
59,False,96,1.4990148058181427,6.694839567450755,0.8020833333333334
60,False,96,1.3574925890444116,5.701322720161527,0.7708333333333334
