shift_years,is_observed_timing,valid_cells,median_absolute_naive_t,maximum_absolute_naive_t,positive_estimate_share
0,True,20,1.0010130109785014,1.8386971310047928,0.75
1,False,20,1.2650198569095263,1.9965404081721692,0.25
2,False,20,0.799528237277368,2.0012108234809287,0.2
3,False,20,1.5786863026328408,2.8538006377335865,1.0
4,False,20,0.5890683467107292,2.6981409569342416,0.8
5,False,20,0.5603574530558244,1.4221509158580463,0.4
6,False,20,1.0098346300507095,1.7669529545728038,0.2
7,False,20,0.9694841047276342,3.2564360803304857,0.75
8,False,20,0.8646655795748251,3.2494316963255283,0.6
9,False,20,1.616785777180684,4.087750111257658,0.2
10,False,20,1.3134379801604144,3.313429811065026,0.75
11,False,20,1.4246289057783035,2.2491024981686008,0.6
12,False,20,1.1222525004091022,2.0534306425843023,0.25
13,False,20,1.4645642140178192,2.1110725454569885,0.2
14,False,20,1.4121876396727329,2.386594397301296,0.75
15,False,20,1.016163992233538,2.354793905418278,0.65
16,False,20,0.567597434785958,2.1411865448590452,0.15
17,False,20,1.4314836207599044,2.132253752359875,0.4
18,False,20,0.6460206202242206,2.116181248974331,0.25
19,False,20,0.4037590820217861,1.0753944601003358,0.4
20,False,20,1.2674001224163085,2.3704647827715735,0.5
21,False,20,0.6966709296130256,1.4938945929493859,0.45
22,False,20,0.6448479499453372,1.7695269882066524,0.25
23,False,20,0.95203408398444,3.723429476537196,0.6
24,False,20,1.1082741954066049,3.766167921936731,0.55
25,False,20,0.8763042768669618,2.620354445645737,0.9
26,False,20,0.2909539635549898,1.5990015297130986,0.55
27,False,20,1.2988730240472446,2.6338225326358353,0.15
28,False,20,0.5173281660086453,2.003842735444182,0.55
29,False,20,0.8498038081323551,3.202192240089746,0.85
30,False,20,0.6644639294677953,2.6058829739842153,0.75
31,False,20,0.4757702988105146,1.4214493828789294,0.35
32,False,20,1.3940580421985518,2.340553514756126,0.2
33,False,20,1.0093421165794296,2.152044327861066,0.55
34,False,20,0.7968622321828076,1.697129648647181,0.4
35,False,20,0.6133012521617739,2.601335150056225,0.65
36,False,20,0.5646030971686917,2.763388426425203,0.65
37,False,20,0.6140977100586154,2.7365522651159675,0.35
38,False,20,0.6074455999718461,1.7039411319674496,0.15
39,False,20,1.1012629759875476,2.5865836272455556,0.2
40,False,20,1.7796289772552363,2.5526568996454833,0.6
41,False,20,0.48453962783223176,1.2149059814418723,0.8
42,False,20,0.49428603584003966,1.9363327274305604,0.35
43,False,20,0.6255489923283358,1.4282510459442719,0.2
44,False,20,0.7912983687641503,2.2524773882231863,0.85
45,False,20,0.6033037543442854,1.9256381864555507,0.75
46,False,20,1.3495332000714055,3.274675025326266,0.5
47,False,20,0.6243284555120492,1.836123274559497,0.7
48,False,20,1.5230122719563317,2.8434620567620623,0.55
49,False,20,0.6370568807366128,2.501094921222089,0.45
50,False,20,1.0603583053815402,1.9631609814165876,0.7
51,False,20,0.9299170953234205,2.2772831568648453,0.9
52,False,20,1.360193571471524,2.7048839962203592,0.55
53,False,20,0.956602188298842,1.7810103854399835,0.05
54,False,20,0.6988763847952104,3.638209460770907,0.6
55,False,20,1.0217810962757106,4.237398937422019,0.65
56,False,20,1.1377626387140323,1.7793764444275388,0.5
57,False,20,0.8705049765782793,2.0789086124601273,0.5
58,False,20,0.8939062718147669,2.848673349110461,0.25
59,False,20,0.3661039141126148,1.4256120912194072,0.2
60,False,20,0.7303983051019252,1.5137162000072297,0.4
